,title,views,likes,dislikes,comments,upload_date
0,죄송합니다,3731235,17000,100000,5000,2021-05-18T12:00:20Z
1,곧 갤럭시에 큰 업데이트 온다... 개인보안과 편의성이 증가한 ONE UI 4.0 베타 달라진점 10가지!,643455,9666,217,1734,2021-10-05T11:30:15Z
2,비싸지만 역대급 풀체인지된 태블릿? 아이패드 미니 6세대 언빡싱&첫인상!,835486,11084,297,1545,2021-10-03T11:30:06Z
3,실망스럽지만 실제로 보니 꽤 많이 바뀌었네요? 애플 아이폰 13 언빡싱&첫인상,2071637,23216,619,3075,2021-09-29T12:30:04Z
4,집에서 따라하지 마세요. 애플워치 알루미늄을 3시간동안 사포로 갈면 스테인리스로 바뀐다?,1322630,17417,442,3064,2021-09-26T12:15:00Z
5,둘 중에 대체 뭘 고르지? ㅋㅋ 테크충만 가능한 IT 공상몽상 이상형 월드컵을 해봤습니다.,384128,6589,182,951,2021-09-24T12:15:01Z
6,삼성은 어떻게 방수를 개발했을까? 갤럭시 Z 플립3 완전 분해를 해봤습니다.(돌아온 해체쇼),1078863,18069,444,2394,2021-09-21T11:45:03Z
7,"스마트폰 보호필름이 80,000원이요?? 내구성을 업그레이드 시켜준다는 강화유리를 사봤습니다.",897645,10525,297,1214,2021-09-19T11:30:01Z
8,드디어! 6년만에 모든것이 바뀌었다? 새로운 아이패드 미니6/아이패드 9세대/애플워치7의 달라진점은?,851252,9454,246,1352,2021-09-16T13:15:02Z
9,프로까진 안사도 될 것 같습니다. 새로운 아이폰 13/13 mini/13 프로/13 프로맥스 아주 자세한 총정리!,1568204,18341,630,4062,2021-09-15T04:00:15Z
10,"25,000원으로 윈도우 컴퓨터에 FaceID로 얼굴인식 잠금해제 만들기?",549333,7903,156,1100,2021-09-12T11:30:08Z
11,이번에도 심각할만큼 발열이 심할까? 갤럭시 Z 플립3/폴드3 게임 성능 테스트!,683113,9427,270,1832,2021-09-10T12:00:34Z
12,해외직구 전자제품 중고로 못 파는 거 알고 계셨나요? 11년만에 불법이 합법으로 되었습니다.,535502,9093,188,1184,2021-09-08T11:30:02Z
13,매직키보드가 너무 비싸다면? 반값에 구입할 수 있는 로지텍 케이스 사용기,473401,6127,141,629,2021-09-05T11:45:03Z
14,이젠 S펜도 프로가 있어요? 폴더블 세계최초 갤럭시 Z 폴드3 전용 S펜 비교 분석해봤습니다.,747912,9131,306,1045,2021-09-03T12:30:08Z
15,먼지통도 자동으로 비워주는 시대 ㄷㄷ? 거의 끝판왕 로봇청소기. 로보락 S7 Plus 를 써봤습니다.,663630,7315,253,966,2021-08-31T13:15:01Z
16,삼성이 요즘... 미쳤나봅니다? 10만원대 노캔 무선 이어폰이라니  갤럭시 버즈2 첫인상!,1098436,13902,304,2016,2021-08-30T11:30:05Z
17,호불호 갈리는 평가.. 나의 생각은? 삼성 갤럭시 Z 폴드3 달라진점 총정리!,1382457,15842,698,2345,2021-08-27T11:30:11Z
18,비록 초기 불량에 걸렸지만... 만족도가 엄청 높은 삼성 갤럭시 Z 플립3 언빡싱&첫인상!,3550355,32614,1744,6265,2021-08-24T11:30:00Z
19,3주만에 통수 거하게 맞았지만.. 일단 솔직히 평가해본 갤럭시탭 S7 FE 사용기,866980,11063,371,2135,2021-08-22T11:30:01Z
20,극강의 애플빠도 손사래칠 것 같은 애플 TV 4K 2세대 언빡싱&초기설정?,576026,7157,221,1104,2021-08-20T12:15:01Z
21,생각보다 꽤 예쁘고 좋네요? 자잘하게 많이 개선된 삼성 갤럭시 워치4 언빡싱&첫인상!,1839774,17415,798,2573,2021-08-18T12:00:10Z
22,저의 은밀한.. 취미생활 입니다? 최대 5배 빠른 가성비 썬더볼트 외장 SSD를 조립해봤습니다.,704503,13765,490,1794,2021-08-14T11:30:09Z
23,"오냐오냐 하니까 자꾸 비싸짐 ㅋㅋ 129,000원 짜리 애플 맥세이프 배터리팩 사용기",659126,8510,235,1541,2021-08-12T11:45:01Z
24,대반전;; 마트 가격표는 종이가 아니었다!? 궁금해서 직접 전자종이로 만들어 보았습니다,758581,10307,206,1431,2021-08-09T12:00:21Z
25,이게 왜.. 괜찮지..? 붙이기만했는데 성능은 2배로 유지시켜주는 스마트폰 쿨러를 사봤습니다.,821709,10678,286,1672,2021-08-07T11:45:00Z
26,사장님 너는 돈이나 내세요 ㅋㅋ 4K 32인치 듀얼모니터 포함 편집자가 원하는대로 장비 사줬습니다...,1208876,14743,303,1591,2021-08-04T11:30:03Z
27,갤럭시탭을 쓴다면 무조건 보세요! 몇 가지 불편한 갤럭시탭을 훨씬 편리하게 세팅하는 방법 6가지!,565830,9282,163,1011,2021-08-02T13:00:30Z
28,노트북과 스마트폰을 하나처럼 쓴다? 기대 이상으로 편한 갤럭시 생태계 200% 활용법,475746,6198,145,1049,2021-07-30T12:15:01Z
29,굳이 데스크탑 사지마? 노트북을 마치 컴퓨터 본체처럼 쓰는 가장 쉬운 방법. 클램쉘 모드를 아시나요?,1199038,12075,302,1226,2021-07-28T12:00:08Z
30,내가 중3때 스타하던 글카? 15년 전 출시된 구형 그래픽카드로 최신 PC에서 게임을 돌려봤습니다.,704999,7807,240,1529,2021-07-25T11:30:03Z
